In the long run, the sharpest weapon of all is a kind and gentle spirit.`Anne Frank`72
Acknowledging the good that you already have in your life is the foundation for all abundance.`Eckhart Tolle`94
Intense love does not measure, it just gives.`Mother Teresa`45
Progress is impossible without change, and those who cannot change their minds cannot change anything.`George Bernard Shaw`102
People do not decide their futures, they decide their habits and their habits decide their futures.`Gary Keller`99
I am not proud, but I am happy; and happiness blinds, I think, more than pride.`Alexandre Dumas`79
If you only knew the magnificence of the 3, 6, and 9, then you would have a key to the universe.`Nikola Tesla`96
Don't let the noise of others opinions drown out your inner voice.`Steve Jobs`66
Life is like playing the violin in public and learning the instrument as one goes on.`Samuel Butler`85
Every drop in the ocean counts. `Yoko Ono`32
Imagination means nothing without doing.  `Charlie Chaplin`42
Start each day with a positive thought and a grateful heart.`Roy T. Bennett`60
Never doubt that a small group of thoughtful, committed citizens can change the world; indeed, it's the only thing that ever has.`Margaret Mead`129
You can't make someone feel good about themselves until you feel good about yourself.`Robin Sharma`85
Throw your heart over the bar and your body will follow.`Norman Vincent Peale`56
Reflect upon your present blessings of which every man has many - not on your past misfortunes, of which all men have some.`Charles Dickens`123
The clock indicates the moment...but what does eternity indicate?`Walt Whitman`65
You don't have to be great to start, but you have to start to be great.  `Zig Ziglar`73
Difficult roads often lead to beautiful destinations.`Unknown`53
The greatest of all mistakes is to do nothing because you think you can only do a little.  `Zig Ziglar`91
It's not what you pay a man, but what he costs you that counts.`Will Rogers`63
He is richest who is content with the least, for content is the wealth of nature.`Socrates`81
Even if you stumble and fall down, it doesn't mean you've chosen the wrong path.`Zen Proverb`80
You're never too old for anything.`Betty White`34
It is better to offer no excuse than a bad one. `George Washington`48
The harder the conflict, the greater the triumph. `George Washington`50
Peace begins with a smile.`Mother Teresa`26
As mortals, we're ruled by conditions, not by ourselves.`Bodhidharma`56
Man suffers only because he takes seriously what the gods made for fun.`Alan Watts`71
Genius is one percent inspiration and ninety-nine percent perspiration.`Thomas Edison`71
How much pain they have cost us, the evils which have never happened.`Thomas Jefferson`69
Vision is the art of seeing things invisible.`Jonathan Swift`45
New beginnings are disguised as painful endings.`Lao Tzu`48
If the misery of the poor be caused not by the laws of nature, but by our institutions, great is our sin.`Charles Darwin`105
Genius, in truth, means little more than the faculty of perceiving in an unhabitual way.`William James`88
The wiser you get, the less you care to look like a fool.`Maxime Lagace`57
As soon as you trust yourself, you will know how to live.`Johann Wolfgang von Goethe`57
All men who have achieved great things have been great dreamers. `Orison Swett Marden`65
The smallest of actions is always better than the noblest of intentions.`Robin Sharma`72
Too much sanity may be madness and the maddest of all, to see life as it is and not as it should be. `Miguel de Cervantes`101
Never whine, never complain, never try to justify yourself.`Robert Greene`59
Forget safety. Live where you fear to live.`Rumi`43
Cherish forever what makes you unique, cuz you're really a yawn if it goes.`Bette Midler`75
Know yourself and you will win all battles.`Sun Tzu`43
No matter how tall the mountain is, it cannot block the sun.`Chinese Proverb`60
Change yourself and you have done your part in changing the world.`Paramahansa Yogananda`66
Happiness comes when you believe in what you are doing, know what you are doing, and love what you are doing.`Brian Tracy`109
It is not titles that honour men, but men that honour titles.`Niccolo Machiavelli`61
True it is, we only hate those whom we do not know.`Andrew Carnegie`51
Nothing ever goes away until it has taught us what we need to know.`Pema Chodron`67
What's obvious to you isn't obvious to most people. Operate from this perspective and you'll help more people.`Jack Butcher`110
In order to be irreplaceable one must always be different.`Coco Chanel`58
The goal is not to show how great you are to others, but how vulnerable you are to yourself.`Maxime Lagace`92
When you believe in a thing, believe in it all the way, implicitly and unquestionable.`Walt Disney`86
It is far easier to start something than it is to finish it.`Amelia Earhart`60
Pursue what catches your heart, not what catches your eyes.`Roy T. Bennett`59
Don't let someone elses. opinion become your reality.`Les Brown`53
Success is liking yourself, liking what you do, and liking how you do it.`Maya Angelou`73
We must learn to live together as brothers or perish together as fools.`Martin Luther King, Jr.`71
Courage is found in unlikely places.`J.R.R. Tolkien`36
We must embrace pain and burn it as fuel for our journey.`Kenji Miyazawa`57
To judge a man by his weakest link or deed is like judging the power of the ocean by one wave.`Elvis Presley`94
I think self-awareness is probably the most important thing towards being a champion. `Billie Jean King`86
Misfortune shows those who are not really friends.`Aristotle`50
Success seems to be connected to action. Successful people keep moving. They make mistakes, but they don't quit.`Conrad Hilton`112
In all chaos there is a cosmos, in all disorder a secret order.`Carl Jung`63
The primary cause of unhappiness is never the situation but your thoughts about it.`Eckhart Tolle`83
Be polite to all, but intimate with few.`Thomas Jefferson`40
In order for you to be the BEST you can be for others, first you must be BEST for yourself.`Jeffrey Gitomer`91
Saying nothing sometimes says the most.`Emily Dickinson`39
No grand idea was ever born in a conference, but a lot of foolish ideas have died there.`F. Scott Fitzgerald`88
If your happiness depends on what somebody else does, I guess you do have a problem.`Richard Bach`84
There is no failure except in no longer trying. There is no defeat except from within, no insurmountable barrier except our own inherent weakness of purpose.`Elbert Hubbard`157
However difficult life may seem, there is always something you can do and succeed at.`Stephen Hawking`85
First comes the shy wish. Then you must have the heart to have the dream. Then, you work, and work.  `Estee Lauder`101
It is easier to fight for one's principles than to live up to them. `Alfred Adler`68
The future is no more uncertain than the present.`Walt Whitman`49
Before preparing to improve the world, first look around your own home three times. `Chinese Proverb`84
Knowing your own darkness is the best method for dealing with the darknesses of other people.`Carl Jung`93
It is amazing what you can accomplish if you do not care who gets the credit.`Harry S. Truman`77
None of us can change our yesterdays but all of us can change our tomorrows.`Colin Powell`76
Mastery is not a function of genius or talent, it is a function of time and intense focus applied to a particular field of knowledge.`Robert Greene`133
You can avoid reality, but you cannot avoid the consequences of avoiding reality.`Ayn Rand`81
The thing about smart people is that they seem like crazy people to dumb people.`Stephen Hawking`80
Happiness is only real when shared.`Christopher McCandless`35
Be not glad at the misfortune of another, though he may be your enemy. `George Washington`71
Would you rather live your life according to the approval of others or aligned with your truth and your dreams?`Robin Sharma`111
Don't be afraid of enemies who attack you. Be afraid of the friends who flatter you.`Dale Carnegie`84
Circumstances rule men; men do not rule circumstances. `Herodotus`55
You miss 100% of the shots you don't take.`Wayne Gretzky`42
Identify your problems, but give your power and energy to solutions.`Tony Robbins`68
The degree of responsibility you take for your life determines how much change you can create in it.`Celestine Chua`100
Every act of creation is first an act of destruction.`Pablo Picasso`53
Courage is resistance to fear, mastery of fear - not absence of fear.`Mark Twain`69
Living a life that has a greater purpose and living up to it is the ultimate degree that we should strive for.`Gurbaksh Chahal`110
Leaders think and talk about solutions. Followers think and talk about the problems.`Brian Tracy`84
You must learn to let go. Release the stress. You were never in control anyway.`Steve Maraboli`79
If I can laugh, I can live.`Christopher Reeve`27
Until you change how you get things done, you'll never know what works best.`Roy T. Bennett`76
Success is good at any age, but the sooner you find it, the longer you will enjoy it.`Napoleon Hill`85
Thoughts become things. If you see it in your mind, you will hold it in your hand.`Bob Proctor`82
Even if you're sure you can win, be careful that you can live with what you lose.`Gary Keller`81
I don't walk away from things that I think are unfinished.`Arnold Schwarzenegger`58
The power to make and break habits and learning how to do that is really important.`Naval Ravikant`83
The only thing worse than being blind is having sight but no vision.`Helen Keller`68
Every day is an opportunity to a make a new happy ending.`Jonathan Swift`57
There are more quarrels smothered by just shutting your mouth, and holding it shut, than by all the wisdom in the world.`Henry Ward Beecher`120
Respect was invented to cover the empty place where love should be.`Leo Tolstoy`67
A liar knows that he is a liar, but one who speaks mere portions of truth in order to deceive is a craftsman of destruction.`Criss Jami`124
What worries you, masters you.`John Locke`30
People don't realize that now is all there ever is; there is no past or future except as memory or anticipation in your mind.`Eckhart Tolle`125
The least deviation from truth will be multiplied later.`Aristotle`56
We run to win, not just to be in the race.  `Vince Lombardi`44
The goal is not to be perfect by the end, the goal is to be better today.`Simon Sinek`73
To affect the quality of the day, that is the highest of arts.`Henry David Thoreau`62
One of the keys to happiness is a bad memory.`Rita Mae Brown`45
Do the difficult things while they are easy and do the great things while they are small.`Lao Tzu`89
The dream is free, but the hustle is sold separately.`Steve Harvey`53
The ladder of success is best climbed by stepping on the rungs of opportunity.`Ayn Rand`78
Don't be afraid to go slowly. Be afraid of stopping.`Zen Proverb`52
You can never get enough of what you don't need to make you happy.`Eric Hoffer`66
Little minds have little worries, big minds have no time for worries.`Ralph Waldo Emerson`69
Others have seen what is and asked why. I have seen what could be and asked why not`Pablo Picasso`83
Your vision will become clear only when you can look into your own heart.`Lolly Daskal`73
Heal the past, live the present, dream the future.`Mary Engelbreit`50
